Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"2489 Dufferin Street Condos is a new condominium development by Atria Development Corporation currently in pre-construction located at 2489 Dufferin Street, Toronto in the Glen Park neighbourhood with a 72/100 walk score and a 75/100 transit score. 2489 Dufferin Street Condos is designed by Kohn Partnership Architects Inc. The project is 9 storeys tall and has a total of 98 suites. 2489 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1303 Yonge Street Condos is a new condominium development by Aspen Ridge Homes currently in pre-construction located at 1303 Yonge Street, Toronto in the Summerhill neighbourhood with a 87/100 walk score and a 85/100 transit score. 1303 Yonge Street Condos is designed by BDP Quadrangle. The project is 11 storeys tall and has a total of 102 suites. 1303 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1 Saint Clair Avenue West Condos is a new condominium development by Slate Asset Management currently in pre-construction located at 1 Saint Clair Avenue West, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 84/100 transit score. 1 Saint Clair Avenue West Condos is designed by Gensler. The project is 49 storeys tall and has a total of 340 suites. 1 Saint Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2451 Dufferin Street Condos is a new condominium development by Republic Developments currently in pre-construction located at 2451 Dufferin Street, Toronto in the Fairbank neighbourhood with a 70/100 walk score and a 77/100 transit score. 2451 Dufferin Street Condos is designed by IBI Group. The project is 20 storeys tall and has a total of 462 suites. 2451 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"49 Jackes Avenue Condos is a new condominium development by Lifetime Developments currently in pre-construction located at 49 Jackes Avenue, Toronto in the Summerhill neighbourhood with a 83/100 walk score and a 84/100 transit score. 49 Jackes Avenue Condos is designed by Hariri Pontarini Architects. The project is 29 storeys tall and has a total of 217 suites. 49 Jackes Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Leona Condos is a new condominium development by Trulife Developments currently in pre-construction located at 105 Sheppard Avenue East, Toronto in the Willowdale neighbourhood with a 88/100 walk score and a 88/100 transit score. Leona Condos is designed by Zo1 Ltd. and will feature interior design by DK Studios. The project is 8 storeys tall and has a total of 58 suites. Leona Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Earlscourt Condos is a new condominium development by Format Group currently in pre-construction located at 1478 Saint Clair Avenue West, Toronto in the Corso Italia-Earlscourt neighbourhood with a 89/100 walk score and a 77/100 transit score. Earlscourt Condos is designed by RAW Design. The project is 9 storeys tall and has a total of 55 suites. Earlscourt Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Eglinton & Highbourne Condos is a new condominium development by Altree Developments currently in pre-construction located at 191 Highbourne Road, Toronto in the Chaplin Estates neighbourhood with a 90/100 walk score and a 88/100 transit score. Eglinton & Highbourne Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"15 Charles Street East Condos is a new condominium development by Republic Developments currently in pre-construction located at 15 Charles Street East, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 92/100 transit score. 15 Charles Street East Condos is designed by IBI Group. The project is 54 storeys tall and has a total of 549 suites. 15 Charles Street East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"705 Lawrence Avenue West Condos is a new condominium development by Plaza currently in pre-construction located at  705 Lawrence Avenue West, Toronto in the Glen Park neighbourhood with a 71/100 walk score and a 86/100 transit score. 705 Lawrence Avenue West Condos is designed by CORE Architects. The project is 4 storeys tall and has a total of 360 suites. 705 Lawrence Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Marlee Condos is a new condominium development by Spotlight Development currently in pre-construction located at  774 Marlee Avenue, Toronto in the Glen Park neighbourhood with a 72/100 walk score and a 85/100 transit score. The project is 12 storeys tall and has a total of 301 suites. Marlee Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3300 Dufferin Street Condos is a new condominium development by Terracap currently in pre-construction located at 3300 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 63/100 walk score and a 84/100 transit score. 3300 Dufferin Street Condos is designed by TACT Architecture Inc.. The project is 28 storeys tall and has a total of 351 suites. 3300 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2255 St. Clair Avenue West Condos is a new condominium development by Marlin Spring Developments currently in pre-construction located at  2255 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 61/100 walk score and a 78/100 transit score. 2255 St. Clair Avenue West Condos is designed by RAW Design. The project is 12 storeys tall and has a total of 511 suites. 2255 St. Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"50 Merton Street Condos is a new condominium development by Alterra & Diamondcorp currently in pre-construction located at 50 Merton Street, Toronto in the Davisville Village neighbourhood with a 87/100 walk score and a 82/100 transit score. 50 Merton Street Condos is designed by Hariri Pontarini Architects. The project is 39 storeys tall and has a total of 430 suites. 50 Merton Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2 Union Street Condos is a new condominium development by  currently in pre-construction located at 2 Union Street, Toronto in the Silverthorn neighbourhood with a 88/100 walk score and a 77/100 transit score. 2 Union Street Condos is designed by TACT Architecture Inc.. The project is 49 storeys tall and has a total of 1,364 suites. 2 Union Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"289 Balliol Street Condos is a new condominium development by Menkes Developments Ltd. currently in pre-construction located at 289 Balliol Street, Toronto in the Davisville Village neighbourhood with a 82/100 walk score and a 81/100 transit score. 289 Balliol Street Condos is designed by Turner Fleischer Architects. The project is 28 storeys tall and has a total of 261 suites. 289 Balliol Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Toronto Yorkville Luxury Condos is a new condominium development by Impressions Group currently in pre-construction located at Avenue Road & Bloor Street West, Toronto in the The Annex neighbourhood with a 96/100 walk score and a 95/100 transit score. Toronto Yorkville Luxury Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Roselawn Avenue + Lyon Court Condos is a new condominium development by Capitol Management Corp currently in pre-construction located at  131 Lyon Court, Toronto in the Forest Hill Upper Village neighbourhood with a 68/100 walk score and a 83/100 transit score. Roselawn Avenue + Lyon Court Condos is designed by Turner Fleischer Architects. The project is 35 storeys tall and has a total of 419 suites. Roselawn Avenue + Lyon Court Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Residences on St. Clair West Condos is a new condominium development by Carlyle Communities currently in pre-construction located at 6 Lloyd Avenue, Toronto in the The Junction neighbourhood with a 94/100 walk score and a 84/100 transit score. Residences on St. Clair West Condos is designed by RAW Design and will feature interior design by Figure3. Development is scheduled to be completed in 2024. The project is 17 storeys tall and has a total of 555 suites. Residences on St. Clair West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Ranleigh Condos is a new condominium development by Impressions Group currently in pre-construction located at Yonge Street & Lawrence Avenue West, Toronto in the Lawrence Park neighbourhood with a 84/100 walk score and a 81/100 transit score. Ranleigh Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Lawrence Park Condos is a new condominium development by NYX Capital currently in pre-construction located at 3180 Yonge Street, Toronto in the Bedford Park neighbourhood with a 87/100 walk score and a 81/100 transit score. Lawrence Park Condos is designed by Richard Wengle Architect Inc.. The project is 12 storeys tall and has a total of 109 suites. Lawrence Park Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Forest Hill Residences Condos is a new condominium development by Plaza Partners currently in pre-construction located at 175 Saint Clair Avenue West, Toronto in the South Hill neighbourhood with a 81/100 walk score and a 83/100 transit score. Forest Hill Residences Condos is designed by Richard Wengle Architect Inc.. The project is 13 storeys tall and has a total of 164 suites. Forest Hill Residences Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Elderwood Towns is a new condominium development by Metroly Developments currently in pre-construction located at 75 Elderwood Drive, Toronto in the Forest Hill neighbourhood with a 55/100 walk score and a 80/100 transit score. Elderwood Towns is designed by RAW Design. The project is 4 storeys tall and has a total of 35 suites. Elderwood Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"Catford + Broadoaks Condos is a new condominium development by Sorbara Group of Companies currently in pre-construction located at 11 Catford Road, Toronto in the York University neighbourhood with a 56/100 walk score and a 82/100 transit score. Catford + Broadoaks Condos is designed by Graziani + Corazza Architects Inc.. The project is 30 storeys tall and has a total of 946 suites. Catford + Broadoaks Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"91 Raglan Avenue Condos is a new condominium development by Camrost-Felcorp currently in pre-construction located at 91 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 83/100 walk score and a 85/100 transit score. 91 Raglan Avenue Condos is designed by onespace unlimited inc.. The project is 26 storeys tall and has a total of 225 suites. 91 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"906 Yonge Street Condos is a new condominium development by Easton’s Group of Hotels & The Gupta Group currently in pre-construction located at 906 Yonge Street, Toronto in the Yorkville neighbourhood with a 96/100 walk score and a 89/100 transit score. 906 Yonge Street Condos is designed by IBI Group. The project is 33 storeys tall and has a total of 401 suites. 906 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"80 Bloor Street West is a new condominium development by Krugarand Corporation currently in pre-construction located at 80 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 100/100 transit score. 80 Bloor Street West is designed by Giannone Petricone Associates Inc.. The project is 72 storeys tall (224.0m, 735.0ft) and has a total of 1,356 suites. 80 Bloor Street West is the # tallest condominium in  and the # tallest condominium in . 80 Bloor Street West is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Luxury,
"Locust Condos is a new condominium development by Fengate & Trolleybus Urban Development Inc currently in pre-construction located at 8 Locust Street, Toronto in the Mt Dennis neighbourhood with a 52/100 walk score and a 74/100 transit score. Locust Condos is designed by WZMH Architects. The project is 36 storeys tall and has a total of 446 suites. Locust Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"8 Gloucester Condos is a new condominium development by Angel Developments currently in pre-construction located at 8 Gloucester Street, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 100/100 transit score. 8 Gloucester Condos is designed by Hariri Pontarini Architects. The project is 34 storeys tall (100.0m, 328.1ft) and has a total of 252 suites. 8 Gloucester Condos is the # tallest condominium in  and the # tallest condominium in . 8 Gloucester Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"719 Sheppard Ave W Condos is a new condominium development by Format Group & Topfar Developments currently in pre-construction located at 719 Sheppard Avenue West, Toronto in the Clanton Park neighbourhood with a 54/100 walk score and a 62/100 transit score. 719 Sheppard Ave W Condos is designed by ICON Architects Inc. The project is 9 storeys tall and has a total of 91 suites. 719 Sheppard Ave W Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"71 Talara Drive Condos is a new condominium development by Tribute Communities currently in pre-construction located at 71 Talara Drive, Toronto in the Bayview Village neighbourhood with a 56/100 walk score and a 71/100 transit score. 71 Talara Drive Condos is designed by Turner Fleischer Architects. The project is 23 storeys tall and has a total of 236 suites. 71 Talara Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"7 Heath Street Condos is a new condominium development by  currently in pre-construction located at 7 Heath Street West, Toronto in the Deer Park neighbourhood with a 94/100 walk score and a 89/100 transit score. The project is 13 storeys tall and has a total of 97 suites. 7 Heath Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"69 Yorkville Avenue Condos is a new condominium development by  currently in pre-construction located at 69 Yorkville Avenue, Toronto in the Yorkville neighbourhood with a 99/100 walk score and a 92/100 transit score. 69 Yorkville Avenue Condos is designed by JET Design Architect Inc.. The project is 29 storeys tall and has a total of 143 suites. 69 Yorkville Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"660 Leaside is a new condominium development by RioCan currently in pre-construction located at 660 Eglinton Avenue East, Toronto in the Leaside neighbourhood with a 89/100 walk score and a 72/100 transit score. The project is 19 storeys tall and has a total of 426 suites. 660 Leaside is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"65 Raglan Avenue Condos is a new condominium development by Camrost-Felcorp currently in pre-construction located at 65 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 92/100 walk score and a 88/100 transit score. 65 Raglan Avenue Condos is designed by IBI Group. The project is 33 storeys tall and has a total of 347 suites. 65 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"645 Northcliffe Boulevard Condos is a new condominium development by Stanford Homes currently in pre-construction located at 645 Northcliffe Boulevard, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 78/100 walk score and a 80/100 transit score. 645 Northcliffe Boulevard Condos is designed by Superkul Inc.. The project is 15 storeys tall and has a total of 159 suites. 645 Northcliffe Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"609 Sherbourne Condos is a new condominium development by Lanterra Developments currently in pre-construction located at 609 Sherbourne Street, Toronto in the Cabbagetown neighbourhood with a 94/100 walk score and a 97/100 transit score. 609 Sherbourne Condos is designed by architectsAlliance. The project is 46 storeys tall and has a total of 841 suites. 609 Sherbourne Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"586 Eglinton Avenue East Condos is a new condominium development by Sanderling Developments currently in pre-construction located at 586 Eglinton Avenue East, Toronto in the Yonge & Eglinton neighbourhood with a 81/100 walk score and a 71/100 transit score. 586 Eglinton Avenue East Condos is designed by architectsAlliance. The project is 32 storeys tall and has a total of 249 suites. 586 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"57 Linelle Street Towns is a new condominium development by  currently in pre-construction located at 57 Linelle Street, Toronto in the Lansing-Westgate neighbourhood with a 59/100 walk score and a 81/100 transit score. 57 Linelle Street Towns is designed by RN Design. The project is 3 storeys tall and has a total of 34 suites. 57 Linelle Street Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"572 Church Street Condos is a new condominium development by Fieldgate Urban currently in pre-construction located at 572 Church Street, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 100/100 transit score. 572 Church Street Condos is designed by IBI Group and will feature interior design by Figure3. The project is 12 storeys tall and has a total of 127 suites. 572 Church Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"537 Eglinton Avenue East Condos is a new condominium development by Skale Developments currently in pre-construction located at 537 Eglinton Avenue East, Toronto in the Davisville Village neighbourhood with a 83/100 walk score and a 72/100 transit score. 537 Eglinton Avenue East Condos is designed by Turner Fleischer Architects. The project is 25 storeys tall and has a total of 300 suites. 537 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"529 Marlee Avenue Condos is a new condominium development by  currently in pre-construction located at 529 Marlee Avenue, Toronto in the Glen Park neighbourhood with a 84/100 walk score and a 83/100 transit score. 529 Marlee Avenue Condos is designed by KFA Architects and Planners. The project is 28 storeys tall and has a total of 306 suites. 529 Marlee Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"524 Dupont Street Condos is a new condominium development by  currently in pre-construction located at 524 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 90/100 walk score and a 95/100 transit score. 524 Dupont Street Condos is designed by John Shuki Lau Architect. The project is 3 storeys tall and has a total of 4 suites. 524 Dupont Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"50-52 Neptune Drive Condos is a new condominium development by Dash Developments Inc currently in pre-construction located at 50 Neptune Drive, Toronto in the Lawrence Manor neighbourhood with a 80/100 walk score and a 75/100 transit score. 50-52 Neptune Drive Condos is designed by Giovanni Tassone Architect Inc. and will feature interior design by Wolfe Interior Design. The project is 10 storeys tall and has a total of 140 suites. 50-52 Neptune Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"50 Eglinton Avenue West Condos is a new condominium development by Madison Group currently in pre-construction located at 50 Eglinton Avenue West, Toronto in the Lytton Park neighbourhood with a 98/100 walk score and a 94/100 transit score. 50 Eglinton Avenue West Condos is designed by Turner Fleischer Architects & Hariri Pontarini Architects & ERA Architects. The project is 35 storeys tall and has a total of 702 suites. 50 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"50 Bloor Street West is a new condominium development by Morguard Corporation currently in pre-construction located at 50 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. The project is 71 storeys tall (229.8m, 754.0ft) and has a total of 600 suites. 50 Bloor Street West is the # tallest condominium in  and the # tallest condominium in . 50 Bloor Street West is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Luxury,
"48 Avondale Avenue Condos is a new condominium development by Oulahen Team Realty currently in pre-construction located at 48 Avondale Avenue, Toronto in the Willowdale neighbourhood with a 84/100 walk score and a 89/100 transit score. 48 Avondale Avenue Condos is designed by Turner Fleischer Architects. The project is 45 storeys tall and has a total of 1,238 suites. 48 Avondale Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"4700 Bathurst Street Condos is a new condominium development by Summit View Homes currently in pre-construction located at 4700 Bathurst Street, Toronto in the Willowdale neighbourhood with a 44/100 walk score and a 59/100 transit score. 4700 Bathurst Street Condos is designed by Daniel Johnson Architect Inc. The project is 9 storeys tall and has a total of 142 suites. 4700 Bathurst Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"438 Avenue Road Condos is a new condominium development by GALA Developments currently in pre-construction located at 438 Avenue Road, Toronto in the South Hill neighbourhood with a 79/100 walk score and a 83/100 transit score. 438 Avenue Road Condos is designed by IBI Group. The project is 24 storeys tall and has a total of 220 suites. 438 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"43 Junction Road Condos is a new condominium development by Diamondcorp currently in pre-construction located at 43 Junction Road, Toronto in the The Junction neighbourhood with a 87/100 walk score and a 76/100 transit score. 43 Junction Road Condos is designed by CORE Architects. The project is 35 storeys tall and has a total of 1,888 suites. 43 Junction Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"44 Broadway Avenue Condos is a new condominium development by Collecdev currently in pre-construction located at 40 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 94/100 walk score and a 90/100 transit score. 44 Broadway Avenue Condos is designed by KPMB & Rafael Bigauskas Architects Inc.. The project is 40 storeys tall and has a total of 412 suites. 44 Broadway Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"4155 Yonge Street Condos is a new condominium development by Green City Development currently in pre-construction located at 4155 Yonge Street, Toronto in the York Mills-Denlow neighbourhood with a 62/100 walk score and a 89/100 transit score. 4155 Yonge Street Condos is designed by Richard Wengle Architect Inc.. The project is 11 storeys tall and has a total of 30 suites. 4155 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"412 Marlee Avenue Condos is a new condominium development by Altree Developments currently in pre-construction located at 412 Marlee Avenue, Toronto in the Glen Park neighbourhood with a 84/100 walk score and a 85/100 transit score. 412 Marlee Avenue Condos is designed by Graziani + Corazza Architects Inc.. The project is 10 storeys tall and has a total of 219 suites. 412 Marlee Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"41 Chatsworth Drive Condos is a new condominium development by Times Group Corporation currently in pre-construction located at 41 Chatsworth Drive, Toronto in the Lytton Park neighbourhood with a 78/100 walk score and a 82/100 transit score. 41 Chatsworth Drive Condos is designed by Kirshenblatt Urban Architecture Inc.. The project is 4 storeys tall and has a total of 30 suites. 41 Chatsworth Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"40 Raglan Avenue Condos is a new condominium development by Hazelview Investments currently in pre-construction located at 40 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 88/100 walk score and a 85/100 transit score. 40 Raglan Avenue Condos is designed by Graziani + Corazza Architects Inc.. The project is 28 storeys tall and has a total of 217 suites. 40 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"346 Eglinton Avenue West Condos is a new condominium development by Terranata Developments Inc. currently in pre-construction located at 346 Eglinton Avenue West, Toronto in the Allenby neighbourhood with a 89/100 walk score and a 89/100 transit score. 346 Eglinton Avenue West Condos is designed by Rafael Bigauskas Architects Inc.. The project is 15 storeys tall and has a total of 112 suites. 346 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3450 Dufferin Street Condos is a new condominium development by The Gupta Group currently in pre-construction located at 3450 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 73/100 walk score and a 87/100 transit score. 3450 Dufferin Street Condos is designed by IBI Group. The project is 29 storeys tall (122.0m, 400.3ft) and has a total of 900 suites. 3450 Dufferin Street Condos is the # tallest condominium in . 3450 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"333 Wilson Avenue Condos is a new condominium development by Greatwise Developments currently in pre-construction located at 333 Wilson Avenue, Toronto in the Clanton Park neighbourhood with a 70/100 walk score and a 75/100 transit score. 333 Wilson Avenue Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 185  suites. 333 Wilson Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"328 Bloor Street West Condos is a new condominium development by First Capital Realty currently in pre-construction located at 328 Bloor Street West, Toronto in the The Annex neighbourhood with a 96/100 walk score and a 98/100 transit score. 328 Bloor Street West Condos is designed by BDP Quadrangle. The project is 37 storeys tall and has a total of 366 suites. 328 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3280 Dufferin Street Condos is a new condominium development by Topfar Developments currently in pre-construction located at 3280 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 72/100 walk score and a 83/100 transit score. 3280 Dufferin Street Condos is designed by IBI Group. The project is 14 storeys tall and has a total of 340 suites. 3280 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"32 Raglan Avenue Condos is a new condominium development by Madison Group currently in pre-construction located at 32 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 88/100 walk score and a 84/100 transit score. 32 Raglan Avenue Condos is designed by superkül. The project is 28 storeys tall and has a total of 440 suites. 32 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"316 Bloor Street West Condos is a new condominium development by State Building Group currently in pre-construction located at 316 Bloor Street West, Toronto in the The Annex neighbourhood with a 98/100 walk score and a 100/100 transit score. 316 Bloor Street West Condos is designed by Kirkor Architect + Planners. The project is 29 storeys tall and has a total of 403 suites. 316 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"30 Scollard Street Condos is a new condominium development by Constantine Enterprises Inc. currently in pre-construction located at 30 Scollard Street, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 91/100 transit score. 30 Scollard Street Condos is designed by CAL and Zeidler Architecture. The project is 61 storeys tall and has a total of 79 suites. 30 Scollard Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2908 Yonge Street Condos is a new condominium development by First Avenue Properties & Latch Developments currently under construction located at 2908 Yonge Street, Toronto in the Lytton Park neighbourhood with a 83/100 walk score and a 82/100 transit score. 2908 Yonge Street Condos is designed by RAW Design. The project is 13 storeys tall and has a total of 85 suites. 2908 Yonge Street Condos is currently in Registration Phase.",Under Construction,Yes,-,Yes,-,Condo,
"276 Merton Street Condos is a new condominium development by The Rockport Group currently in pre-construction located at 276 Merton Street, Toronto in the Davisville Village neighbourhood with a 83/100 walk score and a 79/100 transit score. 276 Merton Street Condos is designed by Wallman Architects. The project is 13 storeys tall and has a total of 60 suites. 276 Merton Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2673 Bayview Avenue Towns is a new condominium development by Kingsmen Group Inc. currently in pre-construction located at 2673 Bayview Avenue, Toronto in the York Mills-Denlow neighbourhood with a 50/100 walk score and a 67/100 transit score. 2673 Bayview Avenue Towns is designed by Hunt Design Associates Inc.. The project has a total of 10 suites. 2673 Bayview Avenue Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"2577 Yonge Street Condos is a new condominium development by Pyxis currently in pre-construction located at 2577 Yonge Street, Toronto in the Yonge & Eglinton neighbourhood with a 91/100 walk score and a 83/100 transit score. 2577 Yonge Street Condos is designed by Paul Raff Studio. The project is 9 storeys tall and has a total of 13 suites. 2577 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2402 Dufferin Street Condos is a new condominium development by Lindvest currently in pre-construction located at 2402 Dufferin Street, Toronto in the Fairbank neighbourhood with a 83/100 walk score and a 78/100 transit score. 2402 Dufferin Street Condos is designed by RAW Design. The project is 24 storeys tall and has a total of 405 suites. 2402 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"24 Imperial Street Condos is a new condominium development by Wakefield Realty Corporation currently in pre-construction located at 26 Imperial Street, Toronto in the Chaplin Estates neighbourhood with a 96/100 walk score and a 92/100 transit score. 24 Imperial Street Condos is designed by Turner Fleischer Architects. The project is 9 storeys tall and has a total of 30 suites. 24 Imperial Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2231 St. Clair Avenue West Condos is a new condominium development by Marlin Spring Developments currently in pre-construction located at 2231 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 72/100 walk score and a 81/100 transit score. 2231 St. Clair Avenue West Condos is designed by RAW Design. The project is 12 storeys tall and has a total of 302 suites. 2231 St. Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2128 Yonge Street Condos is a new condominium development by Reserve Properties currently in pre-construction located at 2128 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 98/100 walk score and a 94/100 transit score. 2128 Yonge Street Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 80 suites. 2128 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"215 Lonsdale Condos is a new condominium development by Core Development Group currently in pre-construction located at 215 Lonsdale Road, Toronto in the Forest Hill neighbourhood with a 76/100 walk score and a 85/100 transit score. 215 Lonsdale Condos is designed by Makow Associates Architect.  ranging from 932 sq.ft to 1,663 sq.ft. 215 Lonsdale Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"210 Bloor Street West Condos is a new condominium development by Tribute Communities currently in pre-construction located at 210 Bloor Street West, Toronto in the The Annex neighbourhood with a 97/100 walk score and a 100/100 transit score. 210 Bloor Street West Condos is designed by CORE Architects. The project is 29 storeys tall and has a total of 42 suites. 210 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
